"","Var1","Freq"
"302","LESS THAN  2 SECONDS",1
"303","less than  2sec",1
"304","Less than 1",1
"305","less than 2",1848
"306","less thaN 2",1
"307","lESS THAN 2",1
"308","Less than 2",3385
"309","Less Than 2",2
"310","LEss than 2",1
"311","LESS THAN 2",1217
"312","less than 2  sec",2
"313","Less than 2 econd",1
"314","less than 2 sec",256
"315","Less than 2 sec",3
"316","LESS THAN 2 SEC",9
"317","less than 2 sec`",1
"318","less than 2 secconds",1
"319","Less than 2 second",1
"320","less than 2 seconds",1079
"321","less than 2 Seconds",1
"322","Less than 2 seconds",287
"323","LESS THAN 2 SECONDS",136
"324","less than 2 seconds.",1
"325","less than 2 secoonds",2
"326","less than 2 secs",63
"327","Less than 2 secs",4
"328","LESS THAN 2 SECS",8
"329","less than 2 secs.",4
"330","Less than 2 secs.",1
"331","less than 2 seocnds",2
"332","less than 2 seonds",1
"333","less than 2 sseconds",1
"334","less than 2econds",2
"335","less than 2ecs",1
"336","less than 2s",2
"337","less than 2sce",1
"338","less than 2sec",5
"339","Less than 2sec",1
"340","LESS THAN 2SEC",3
"341","less than 2seconds",2
"342","less than 2secs",20
"343","Less than 2secs",1
"344","less than 3",10
"345","Less than 3",30
"346","LESS THAN 3",7
"347","Less than 3 seconds",2
"348","Less than 3 seconds.",1
"349","LESS THAN 4",2
"350","less than 5",2
"351","Less than 5",1
"352","LESS THAN 5",1
"353","LESS THAN 8",1
"354","less than two",2
"355","Less than two",10
"356","less than two second",4
"357","Less than two second",1
"358","less than2",2
"359","Less than2",2
"360","LESS THAN2",3
"361","less than2 seconds",3
"362","less thans 2 seconds",1
"363","less that 2",1
"364","less thatn 2",1
"365","Less the 2",1
"366","less then 2",6
"367","Less then 2",9
"368","LESS THEN 2",1
"369","less then 2 sec",1
"370","less then 2 seconds",1
"371","Less then 2 seconds",1
"372","Less then 3",1
"373","Less thjan 2",1
"374","Less thn 2",1
"375","less thn 2 seconds",1
"376","less tjan 2",1
"377","Less tjan 2",1
"378","less trhan 2 sec",1
"379","less2",1
"380","Less2",1
"381","LESS2",1
"382","lesss than 2",2
"383","LESSS THAN 2",1
"384","lessthan 2",2
"385","LESSTHAN 2",2
"386","LESSTHAN 2 SECONDS",1
"387","LKESS THAN 3",1
"388","MINUS 2",1
"389","Mora  than 2",1
"390","MORE 2",2
"391","More than 10",1
"392","more than 2",102
"393","More than 2",151
"394","MORE THAN 2",84
"395","more than 2 mins",1
"396","more than 2 sec",11
"397","More than 2 sec",1
"398","more than 2 seconds",35
"399","More than 2 seconds",13
"400","more than 2 secs",9
"401","MORE THAN 2 SECS",1
"402","more than 2secs",1
"403","more than 3",1
"404","More than 3",2
"405","MORE THAN 3",2
"406","more than 3 seconds",1
"407","More than 3 seconds",1
"408","more than 4",1
"409","More than 4",2
"410","more than 5",3
"411","More than 5",1
"412","more than 5 seconds",1
"413","More than 5 seconds",2
"414","MORE THAN 5 SECONDS",1
"415","more than 8",1
"416","More than two",1
"417","More then 2",1
"418","MORE THEN 2",1
"419","more then 2 seconds",1
"420","NO PULSE",1
"421","Normal",1
"422","NORMAL",1
"423","NOT >2 SECS",1
"424","over 2",26
"425","Over 2",22
"426","OVER 2",36
"427","over 2 sec",3
"428","over 2 seconds",4
"429","Over 2 seconds",10
"430","over 2 secs",1
"431","OVER 2SEC",1
"432","Over 3",2
"433","OVER 3",1
"434","over 3 sec",1
"435","Over 3 seconds",1
"436","over 3 secs",1
"437","over 4",1
"438","Over 4",2
"439","Over 4 seconds",2
"440","over 5",1
"441","OVER 5",2
"442","Over three seconds",2
"443","Over two seconds",1
"444","OVERR 2",1
"445","SAYS NORMAL",1
"446","under 2",353
"447","uNDER 2",2
"448","Under 2",80
"449","UNDER 2",620
"450","under 2 s",1
"451","under 2 sec",10
"452","Under 2 sec",5
"453","Under 2 Sec",1
"454","under 2 seconds",5
"455","Under 2 seconds",195
"456","Under 2 seconds-",1
"457","under 2 secs",12
"458","Under 2 secs",5
"459","UNDER 2 SECS",1
"460","under 3",2
"461","Under 3",1
"462","under 3 seconds",1
"463","Under 3 seconds",5
"464","Under three seconds",3
"465","Under two seconds",9
"466","under2",6
"467","UNDER2",2
"468","Under2 seconds",2
"469","(Missing)",225324
