"","Var1","Freq"
"1","Blast",128
"2","Blow(s)",5890
"3","Burn",125
"4","Crush",1104
"5","Fall less than 2m",99699
"6","Fall more than 2m",19637
"7","Other",2431
"8","Shooting",399
"9","Stabbing",3872
"10","Vehicle incident/collision",33174
