"","Var1","Freq"
"290","Less than 5",1
"291","LESS THAN 5",1
"292","LESS THAN 8",1
"293","less than two",2
"294","Less than two",7
"295","less than two second",3
"296","Less than two second",1
"297","less than2",2
"298","Less than2",1
"299","LESS THAN2",2
"300","less than2 seconds",3
"301","less thans 2 seconds",1
"302","less that 2",1
"303","less thatn 2",1
"304","Less the 2",1
"305","less then 2",5
"306","Less then 2",7
"307","LESS THEN 2",1
"308","less then 2 seconds",1
"309","Less then 2 seconds",1
"310","Less then 3",1
"311","Less thjan 2",1
"312","Less thn 2",1
"313","less thn 2 seconds",1
"314","less tjan 2",1
"315","Less tjan 2",1
"316","less trhan 2 sec",1
"317","less2",1
"318","LESS2",1
"319","lesss than 2",1
"320","LESSS THAN 2",1
"321","lessthan 2",1
"322","LESSTHAN 2",2
"323","LKESS THAN 3",1
"324","MINUS 2",1
"325","Mora  than 2",1
"326","More than 10",1
"327","more than 2",71
"328","More than 2",106
"329","MORE THAN 2",55
"330","more than 2 mins",1
"331","more than 2 sec",9
"332","More than 2 sec",1
"333","more than 2 seconds",29
"334","More than 2 seconds",12
"335","more than 2 secs",5
"336","more than 2secs",1
"337","more than 3",1
"338","More than 3",2
"339","MORE THAN 3",2
"340","More than 3 seconds",1
"341","More than 4",2
"342","more than 5",1
"343","more than 5 seconds",1
"344","more than 8",1
"345","More than two",1
"346","More then 2",1
"347","MORE THEN 2",1
"348","more then 2 seconds",1
"349","NO PULSE",1
"350","Normal",1
"351","NORMAL",1
"352","over 2",22
"353","Over 2",10
"354","OVER 2",30
"355","over 2 sec",2
"356","over 2 seconds",3
"357","Over 2 seconds",8
"358","OVER 2SEC",1
"359","Over 3",1
"360","OVER 3",1
"361","Over 3 seconds",1
"362","over 4",1
"363","Over 4",1
"364","Over 4 seconds",2
"365","over 5",1
"366","OVER 5",2
"367","Over three seconds",2
"368","Over two seconds",1
"369","OVERR 2",1
"370","under 2",290
"371","uNDER 2",2
"372","Under 2",74
"373","UNDER 2",518
"374","under 2 s",1
"375","under 2 sec",9
"376","under 2 seconds",2
"377","Under 2 seconds",151
"378","Under 2 seconds-",1
"379","under 2 secs",9
"380","Under 2 secs",4
"381","under 3",1
"382","under 3 seconds",1
"383","Under 3 seconds",5
"384","Under three seconds",3
"385","Under two seconds",9
"386","under2",5
"387","UNDER2",2
"388","Under2 seconds",2
"389","(Missing)",95084
